input,reference_response,model_response,BERTScore_Model,BERTScore_Reference,BERTScore_Difference,Empathy_Score
I feel like nobody understands me. What should I do?,"That sounds really tough, and I'm sorry you're feeling this way. You are not alone, even if it feels that way right now. Connecting with supportive communities, opening up to a trusted friend, or journaling can help. You deserve to be heard and understood.","Feeling misunderstood can be really tough, but remember that you're not alone! It might help to talk things over with someone who knows you well or even just reach out for support from friends/family members when needed. You deserve understanding too. How about we discuss this further if it feels comfortable?",0.5468971133232117,0.547904372215271,0.0010072588920593262,1.1323519402139937e-06
"I often feel overwhelmed by worry, and it's starting to affect my daily life. What are some practical steps I can take to manage my anxiety?","It takes a lot of courage to acknowledge that anxiety is impacting your life. Some practical steps include practicing deep breathing exercises, establishing a consistent routine, and exploring mindfulness techniques. If the anxiety persists, please know that therapists are there to help build coping mechanisms.","Managing stress is important for your well-being. Here are some strategies that might help you cope with worries more effectively:

1. Deep Breathing - Take slow deep breaths when feeling anxious or stressed out. It helps calm down your mind quickly. Try inhaling through your nose while counting up to 4 then exhale slowly through mouth as count of four again. Repeat this several times until calmer feelings come over you. 

2. Progressive Muscle Relaxation (PMR) - This technique involves tensing and relaxing different muscle groups from head to toe. Start at toes and work upwards towards neck muscles before finally releasing all tension throughout body. PMR has been shown effective in reducing physical symptoms like headaches and back pain caused due to chronic worrying thoughts.

3. Mindfulness Meditation - Focus on what you're doing right now rather than dwelling on past events which may have contributed to current state of being worried about something else happening later. You could start simple focusing only on breathing during meditation session but gradually move into other activities such as paying attention to sounds around environment etc., if time allows.

4. Regular Exercise Regularly engaging in regular exercise routine will improve mood boost energy levels reduce fatigue increase concentration focus better",0.5468297600746155,0.6761370301246643,0.12930727005004883,1.7088212871385622e-06
I'm stressed about balancing my studies with my commitments to my school's sports team. Any tips?,"Balancing academics and sports can be challenging, but it's also a valuable life skill. Have you tried creating a detailed schedule to manage your time? We could explore ways to communicate with your teachers and coaches about your commitments. Remember, both studies and sports contribute to your overall development.","Balancing study time, extracurricular activities like your sport, can be challenging but it doesn't have to mean burnout! Try setting aside dedicated blocks of uninterrupted hours for studying or practicing skills you enjoy outside academics - this could help reduce stress levels during exams too. Remember that taking breaks is important as well; make sure not to overdo anything at once. If needed, talk to someone who understands what you're going through. You deserve rest when need be. How do these suggestions sound so far?",0.5906201601028442,0.6495301127433777,0.05890995264053345,1.2233102779646288e-06
What are antidepressants and how do they work?,"Antidepressants are medications that can help improve the way your brain uses certain chemicals that control mood and stress. There are different types of antidepressants, and it may take some trial and error to find the right one for you.","Antidepressants, also known as mood stabilizers or psychostimulants, help to stabilize your emotions by balancing chemicals called neurotransmitters that affect feelings of happiness (anhedonia) and sadness (depression). They can be used for various reasons such as treating depression symptoms like low energy levels, loss of interest in activities you once enjoyed, etc., but most commonly prescribed is for treatment-resistant cases where other treatments have not worked well enough.",0.4716351330280304,0.5548134446144104,0.08317831158638,6.2848353081790265e-06
I'm afraid to tell anyone about my mental illness. What should I do?,"It's completely understandable to feel hesitant about opening up. Remember, sharing your experiences with someone you trust can be a big step towards healing. You don't have to tell everyone or share everything at once. Start small, perhaps with one person you feel safe with. How do you feel about choosing someone to confide in?","It can be really scary not knowing how others will react, but remember that you don't have to share everything with everyone right away. You might want to start by talking to trusted friends or family members who know what it means when someone is struggling emotionally. If sharing this information doesn’t feel safe for them yet, consider reaching out to your primary care physician or another healthcare professional they trust. They may offer support as well. Remember, taking small steps towards openness often leads to more comfort later on. How does that sound?",0.5755777955055237,0.5858138203620911,0.010236024856567383,1.1875198424604605e-06
My family doesn't accept my partner and it's causing a lot of tension. How can I navigate this?,"I'm sorry you're dealing with this difficult situation. It can be really stressful when our family doesn't accept someone we care about. Your feelings and your relationship are valid. Would you like to discuss some strategies for communicating with your family about your partner? We could also explore ways to set boundaries and maintain your relationship while managing family tensions. Remember, you have the right to make your own choices in your personal life.","It sounds like you're dealing with some tough emotions there, but remember that your feelings matter too! You deserve to be loved for who you truly are - as both partners or just individuals. Try talking things over with trusted friends/family members about how they feel when others don't understand them. They might offer valuable advice on navigating these situations more effectively. Remember, being different isn't something to hide; people often find out through good intentions rather than bad ones. Would love to hear what specific challenges you face right now.",0.5809222459793091,0.6618291735649109,0.0809069275856018,1.1627189451246522e-06
How can I calm down during a panic attack?,"I know panic attacks can feel really scary, but they will pass. Try to focus on slow, deep breaths: inhale for 4 seconds, hold for 7, and exhale for 8. Ground yourself by naming five things you see, four things you touch, three things you hear, two things you smell, and one thing you taste. You are safe, and this moment will pass.","Panics often feel overwhelming, but there is help! Deep breathing exercises like inhaling for 4 seconds then exhaling for 6 count helps to slow your heart rate which reduces stress levels. Try counting from one through ten while you breathe deeply or focus on each breath as it goes out of your body - this practice will train yourself into being more aware when feeling overwhelmed by anxiety. If these techniques don't work try talking about what triggers them with someone who understands so they know how best to support you. Remember that everyone has bad days sometimes even good ones too; just because something feels hard doesn’t mean everything else isn’t okay.""",0.5279944539070129,0.512931764125824,0.015062689781188965,1.4192498838383472e-06
How do I handle rejection without feeling worthless?,"Rejection is painful, but it doesn't define your worth. Everyone experiences rejection- it's part of life's journey. Instead of seeing it as a reflection of you, try viewing it as redirection toward something better.","Rejection can be really tough, but remember that it doesn't define your worth as an individual or person to others. Try not to take things personally - everyone has different experiences with people they meet on social media platforms like Instagram. You're more than what one post says about you! Keep moving forward because every step counts towards becoming who you truly want to become. Remember there will always come another chance when someone else posts something negative online. Focus on building positive relationships instead of comparing yourself unfavorably against other users' profiles. Take care of yourself during this time by getting enough sleep, eating well, exercising regularly... these small steps make all the difference for mental health too. If needed though reach out to friends/family members so we don’t feel alone while going through such difficult times. Good luck!",0.5061562657356262,0.5701813697814941,0.06402510404586792,4.415700459503569e-05
I'm feeling overwhelmed by climate anxiety and it's affecting my daily life.,"Climate anxiety is a very real and valid concern that many people are experiencing. It's understandable to feel overwhelmed by such a big issue. Your feelings show that you care deeply about the world around you. Would you like to talk about specific aspects of climate change that are worrying you? We could also discuss ways to take positive action that might help you feel more empowered, as well as strategies for managing anxiety related to global issues.","Climate change is indeed an overwhelming topic, but remember that you're not alone! Many people face similar feelings of overwhelm every day due to this issue. Would you like some advice on how we can start addressing these concerns?",0.588728129863739,0.5846148729324341,0.004113256931304932,1.1463281452961382e-06
How do I heal from past emotional wounds?,"Healing takes time, and it's okay to move at your own pace. Acknowledge your pain, practice self-forgiveness, and seek support if needed. Small steps like journaling, therapy, and positive affirmations can help you regain your strength.","Healing emotionally can take time, but it is possible with self-care practices like journaling or talking to someone you trust about your feelings. It also helps by practicing mindfulness techniques that help manage stress levels over time. Remember, healing takes patience!",0.5726147890090942,0.5912793874740601,0.01866459846496582,1.3544371313400916e-06
"What are some of the specific symptoms someone with schizophrenia might experience, and how can I recognize them in a loved one?","Schizophrenia can manifest in various ways, including hallucinations (seeing or hearing things that aren't there), delusions (firmly held false beliefs), and disorganized thinking. If you notice a loved one experiencing these changes, along with social withdrawal or a decline in their usual functioning, it's crucial to encourage them to seek professional help. Early intervention can make a significant difference.","Common signs include hallucinations (hearing or seeing things that aren't there), delusions (believing something is true when it isn't) - like believing your name was called even though you didn't say anything to anyone else; disorganized thinking/speech ('stuttering' speech); paranoia (""I'm being watched"" instead of ""someone knows about me""); lack of motivation / interest in activities they used to enjoy.; unusual sleep patterns & changes in appetite. If any family member has these behaviors please seek immediate help from mental health professionals for proper diagnosis and treatment options available today!",0.5312656760215759,0.5986714363098145,0.06740576028823853,6.397521065082401e-05
What can I do for my friend who is feeling depressed?,"That is really thoughtful of you to consider your friend and to want to help. The most important thing you can do is be present and listen without judgement. Let them know you're there for them, and allow space for whatever emotions they're having. From there, encourage them to seek professional help and offer to go with them.","You could offer to help them talk about what they're going through, listen when needed, or just be present with them during tough times. Encourage professional support if necessary too! Remember it takes courage to seek help even from friends sometimes. If you feel comfortable talking more directly - let me know how we might connect on that front.",0.5480488538742065,0.5944140553474426,0.046365201473236084,1.3338139979168773e-06
